General Settings| General Settings
Group Deals| Group Deals
Manage Products| Manage Products
Welcome| Welcome
Group Deals: Settings| Group Deals: Settings
The table below shows your available products.| The table below shows your available products.
Product Name| Product Name
Price| Price
Description| Description
Select| Select
Please provide the required information:| Please provide the required information:
Promotion value (in %):| Promotion value (in %):
Number of products:| Number of products:
Start date:| Start date:
End date:| End date:
AVAILABLE DEALS:| AVAILABLE DEALS:
End| End
Promotion| Promotion
Minimal amount| Minimal amount
Delete| Delete
Language Settings:| Language Settings:
Your Products:| Your Products:
Upload Image| Upload Image
Edit| Edit
Product operations:| Product operations:
Add new product:| Add new product:
Save new product!| Save new product!
Launch deal!| Launch deal!
Update Product!| Update Product!
Selected Product| Selected Product
Value| Value
Discount| Discount
Save| Save
Time left until the offer ends:| Time left until the offer ends:
Items already bought:| Items already bought:
bought| bought
on stock!| on stock!
Product Description:| Product Description:
Available Deals:| Available Deals:
View| View
Name| Name
Telephone| Telephone
Country| Country
Company| Company
City| City
County/District| County/District
Shipping address| Shipping address
Submit Order| Submit Order
Manage Pages| Manage Pages
Image| Image
Load Content| Load Content
Category Name| Category Name
Category ID| Category ID
Change Category ID| Change Category ID
Change Category| Change Category
Category ID| Category ID
Visible in menu?| Visible in menu?
Order now| Order now
Please enter discount for [2-5] products:| Please enter discount for [2-5] products:
Please enter discount for [6-10] products:| Please enter discount for [6-10] products:
Please enter discount for [11- ] products:| Please enter discount for [11- ] products:
Products| Products
Product Quantity| Product Quantity
Add to cart| Add to cart
You have no items in your shopping cart.| You have no items in your shopping cart.
General Order Email| General Order Email
Company Logo| Company Logo
Company Link| Company Link
Logo title| Logo title
Shipping cost| Shipping cost
Save settings| Save settings
Settings| Settings
Select| Select
Saved information:| Saved information:
General Order Email:| General Order Email:
Logo:| Logo:
Company Link:| Company Link:
Logo Title:| Logo Title:
Webshop Settings:| Webshop Settings:
Insert a product category:| Insert a product category:
Delete product category:| Delete product category:
Add Category| Add Category
Delete Category| Delete Category
Change| Change
Category ID:| Category ID:

Save Blocks| Save Blocks
Add Footer Link| Add Footer Link
Delete Footer Link| Delete Footer Link
Add a new footer link / Page:| Add a new footer link / Page:
Delete a footer link / Page:| Delete a footer link / Page:
Manage the visibility of the footer links:| Manage the visibility of the footer links:
Update visibility| Update visibility
SAVE| SAVE
Footer Settings| Footer Settings
Manage FOOTER| Manage Footer




Edit Account| Edit Account

EDIT ACCOUNT INFORMATION:| EDIT ACCOUNT INFORMATION:
Update| Update
Rebuild all pages!| Rebuild all pages!
Pages| Pages
Header| Header
Menu| Menu
Footer| Footer
Banner Slider| Banner Slider
Sidebar| Sidebar
Upload Backgrounds| Upload Backgrounds

STEP 1: Create your website pages.| STEP 1: Create your website pages.
Add new page to the website:| Add new page to the website: 
Delete page from website:| Delete page from website: 
Add Page| Add Page
Delete Page| Delete Page
STEP 2: Add content to your website pages.| STEP 2: Add content to your website pages.
Choose the website page which you want to edit:| Choose the website page which you want to edit:
Load Content| Load Content
Submit| Submit

STEP 3: Customizing your header:| STEP 3: Customizing your header:
Choose a background for the header section:| Choose a background for the header section:
Colour| Colour
Header Height| Header Height
Header Text| Header Text
Upload your logo for the website:| Upload your logo for the website:
Update Header| Update Header

STEP 4: Menu & Navigation| STEP 4: Menu & Navigation
Choose the navigation bar's background:| Choose the navigation bar's background:
Order your menu items:| Order your menu items:
Reorder / Refresh| Reorder / Refresh


STEP 5: Create / Update Footer| STEP 5: Create / Update Footer
Upload and Delete images from the Product Slider (Footer):| Upload and Delete images from the Product Slider (Footer):
Upload Image| Upload Image
Set the background of the Product Slider:| Set the background of the Product Slider:
Set the text & link in the footer, below the Product Slider:| Set the text & link in the footer, below the Product Slider:
FOOTER SETTINGS:| FOOTER SETTINGS:
Text:| Text:
Link:| Link:
Background:| Background:
Update Footer| Update Footer
Delete| Delete

STEP 6: General Settings| STEP 6: General Settings
Set the background of the Banner Slider:| Set the background of the Banner Slider:
Background color:| Background color:
Banner Slider's height:| Banner Slider's height:
Banner Slider's location:| Banner Slider's location:
Update Settings| Update settings
Only on one page:| Only on one page:
Every page| Every page

STEP 7: Create your Banner.| STEP 7: Create your Banner.
Add new Banner:| Add new Banner:
Delete Banner:| Delete Banner:
Delete Banner| Delete Banner
Add Banner| Add Banner
STEP 8: Add content to your Banner.| STEP 8: Add content to your Banner.
Choose a Banner which you want to edit:| Choose a Banner which you want to edit:

STEP 9: Create Sidebar Components.| STEP 9: Create Sidebar Components.
Sidebar Block 2: The URL openes in a new window.| Sidebar Block 1: The URL openes in a new window.
Sidebar block 1: The URL openes in the same parent window.| Sidebar block 1: The URL openes in the same parent window.

Uploaded backgrounds:| Uploaded backgrounds:
Uploaded backgrounds for the HEADER section:| Uploaded backgrounds for the HEADER section:
Uploaded backgrounds for the NAVIGATION BAR:| Uploaded backgrounds for the NAVIGATION BAR:
Uploaded backgrounds for the BANNER SLIDER:| Uploaded backgrounds for the BANNER SLIDER:
Uploaded backgrounds for the PRODUCT SLIDER (FOOTER) :| Uploaded backgrounds for the PRODUCT SLIDER (FOOTER) :
Upload Background for - HEADER -| Upload Background for - HEADER -
Upload Background for - NAVIGATION BAR -| Upload Background for - NAVIGATION BAR -
Upload Background for - BANNERS -| Upload Background for - BANNERS -
Upload Background for - BOTTOM SLIDER -| Upload Background for - BOTTOM SLIDER -

The passwords are different!| The passwords are different!
BACK| BACK
Your account was updated!| Your account was updated!
Bad USER or PASSWORD introduced!| Bad USER or PASSWORD introduced!
Login| Login
Forget your password?| Forget your password?
all right reserved by Facebook Shopper| all right reserved by Facebook Shopper
Login unsuccessfull! Please retry!| Login unsuccessfull! Please retry!
You will receive a user and a generated pass in mail...| You will receive a user and a generated pass in mail...
Send me an other password| Send me an other password
Mail Sent! Try again to login when you have received it!| Mail Sent! Try again to login when you have received it!
Attention!| Attention!
Wrong| Wrong
Username - Email Address| Username - Email Address
combination. Does not exist in our database!| combination. Does not exist in our database!
Navigation bar's mouse over colour:| Navigation bar's mouse over colour:
Navigation text colour:| Navigation text colour:
Navigation text colour on mouse over:| Navigation text colour on mouse over:
Sidebar title colour:| Sidebar title colour:
Sidebar link colour:| Sidebar link colour:
Sidebar link hover colour:| Sidebar link hover colour:
Something remained blank!| Something remained blank!
User or E-mail already exists!| User or E-mail already exists!
New user added with success!| New user added with success!
BACK TO THE ADMIN| BACK TO THE ADMIN
